yoninaldo's Exotic Luxury Motors|888 Elite Boulevard|555-787-9900
12345|2021|Mercedes-Benz|S-Class|car|Black|18750|89995.00
23456|2022|BMW|X7|SUV|Alpine White|12300|92500.00
34567|2020|Audi|A8|car|Phantom Black|22450|75995.00
45678|2021|Lexus|LS 500|car|Liquid Platinum|19800|79500.00
56789|2022|Porsche|Cayenne|SUV|Carmine Red|9200|105750.00
67890|2020|Bentley|Continental GT|car|British Racing Green|15600|165000.00
78901|2021|Range Rover|Velar|SUV|Santorini Black|17800|78500.00
89012|2022|Jaguar|F-Type|car|Caldera Red|7500|98750.00
90123|2021|Cadillac|Escalade|SUV|Crystal White|21300|92500.00
10234|2020|Ferrari|488 GTB|car|Rosso Corsa|4800|325000.00
11235|2021|Ferrari|SF90 Stradale|car|Giallo Modena|2100|695000.00
12346|2022|Lamborghini|Huracan EVO|car|Verde Mantis|3500|275000.00
13579|2021|Lamborghini|Aventador SVJ|car|Blu Cepheus|1800|570000.00
24680|2020|Bugatti|Chiron|car|French Racing Blue|1200|3200000.00
35791|2021|Bugatti|Veyron|car|Black Carbon|2800|1900000.00
46802|2022|Rolls-Royce|Phantom|car|Diamond Black|3200|455000.00
57913|2021|McLaren|720S|car|Papaya Spark|2900|315000.00
